0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:09 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:09 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:10 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:34 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:34 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:34 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:35 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:44 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:45 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:45 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:46 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:51 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:51 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:51 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:53 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:57 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:57 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:57 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:59 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:07 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:07 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:07 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:10 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:17 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:17 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:17 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:19 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:35 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:38 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:47 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:47 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:47 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:47 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:54 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:54 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:54 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:30:55 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:33:53 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:33:54 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:33:54 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:33:57 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:34:31 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:34:31 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:34:31 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:34:31 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 1413
